Account ID,Account Owner Region,Account Name,Type,Sub Type,Support SDR,Billing Country,Industry,Employees,Account Propensity Score (APS),Global 2000 Rank,Expected SDR Assignment ,Match/Mismatch
123599,DE,Company 144,Prospect,Suspect,SDR,Germany,Nonprofit Organization,105,15,,Comm Rep,Mismatch
123600,DE,Company 145,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,1247,87,,SDR,Mismatch
123601,DE,Company 146,Prospect,Suspect,Comm Rep,Germany,HCLS Other,279,66,,Comm Rep,Match
123602,DE,Company 147,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,2131,46,,SDR,Mismatch
123603,DE,Company 148,Prospect,Suspect,Comm Rep,Germany,Construction,12,28,,Comm Rep,Match
123604,DE,Company 149,Prospect,Suspect,Comm Rep,Germany,Telco,200227,93,62,SDR,Mismatch
123605,DE,Company 150,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,23194,62,,SDR,Mismatch
123606,DE,Company 151,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,1058,48,,SDR,Mismatch
123607,DE,Company 152,Prospect,Suspect,Comm Rep,Germany,AdTech & MarTech,39,63,,Comm Rep,Match
123608,DE,Company 153,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,1,38,,Comm Rep,Mismatch
123609,DE,Company 154,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,67,16,,Comm Rep,Mismatch
123610,DE,Company 155,Prospect,Suspect,Comm Rep,Germany,Construction,60,34,,Comm Rep,Match
123611,DE,Company 156,Prospect,Suspect,SDR,Germany,Industrial Goods,383,79,,Comm Rep,Mismatch
123612,DE,Company 157,Prospect,Suspect,Comm Rep,Germany,Hardlines,549,64,,SDR,Mismatch
123613,DE,Company 158,Prospect,Suspect,Comm Rep,Germany,Retailers & eCommerce,17,54,,Comm Rep,Match
123614,DE,Company 159,Prospect,Suspect,Comm Rep,Germany,Construction,40,43,,Comm Rep,Match
123615,DE,Company 160,Prospect,Suspect,SDR,Germany,Fintech & Payments,37,15,,Comm Rep,Mismatch
123616,DE,Company 161,Prospect,Suspect,SDR,Germany,Other Private Service,30,17,,Comm Rep,Mismatch
123617,DE,Company 162,Prospect,Suspect,SDR,Germany,Nonprofit Organization,,19,,Unknown,Mismatch
123618,DE,Company 163,Prospect,Suspect,Comm Rep,Germany,Software - B2C,17,63,,Comm Rep,Match
123619,DE,Company 164,Prospect,Suspect,Comm Rep,Germany,Professional Services,179,59,,Comm Rep,Match
123620,DE,Company 165,Prospect,Suspect,SDR,Germany,Industrial Goods,8,42,,Comm Rep,Mismatch
123621,DE,Company 166,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,72,34,,Comm Rep,Match
123622,DE,Company 167,Prospect,Suspect,SDR,Germany,Technology Hardware,90,36,,Comm Rep,Mismatch
123623,DE,Company 168,Prospect,Suspect,SDR,Germany,"QSR, Restaurants & Food Service",575,25,,SDR,Match
123624,DE,Company 169,Prospect,Suspect,Comm Rep,Germany,Power & Utilities,2092,56,,SDR,Mismatch
