Account ID,Account Owner Region,Account Name,Type,Sub Type,Support SDR,Billing Country,Industry,Employees,Account Propensity Score (APS),Global 2000 Rank
123563,DE,Company 108,Customer,Capacity,SDR,Germany,Retailers & eCommerce,2136,100,
123564,DE,Company 109,Prospect,Suspect,Comm Rep,Germany,Softlines,1,50,
123565,DE,Company 110,Customer,Capacity,SDR,Germany,Technology Development Services,68,100,
123566,DE,Company 111,Prospect,Suspect,SDR,Germany,Hardlines,1355,97,
123567,DE,Company 112,Prospect,Suspect,Comm Rep,Germany,Life Sciences,160,56,
123568,DE,Company 113,Prospect,Suspect,Comm Rep,Germany,Retailers & eCommerce,1562,83,
123569,DE,Company 114,Prospect,Suspect,Comm Rep,Germany,Wealth & Asset Management,349,48,
123570,DE,Company 115,Prospect,Suspect,SDR,Germany,Industrial Goods,7239,97,
123571,DE,Company 116,Prospect,Suspect,Comm Rep,United Kingdom,"Grocery, Consumables, Food & Beverage",34072,85,528
123572,DE,Company 117,Prospect,Suspect,SDR,Germany,Softlines,1171,95,
123573,DE,Company 118,Prospect,Suspect,SDR,Switzerland,Hardlines,2393,78,
123574,DE,Company 119,Customer,Capacity,SDR,Germany,Retailers & eCommerce,6,100,
123575,DE,Company 120,Customer,Capacity,SDR,Germany,Hardlines,1034,100,
123576,DE,Company 121,Prospect,Suspect,Comm Rep,Germany,Retailers & eCommerce,1957,86,
123577,DE,Company 122,Customer,On Demand,Comm Rep,Germany,Softlines,897,90,
123578,DE,Company 123,Customer,On Demand,SDR,Germany,,5,35,
123579,DE,Company 124,Customer,Capacity,SDR,Germany,Retailers & eCommerce,2393,100,
123580,DE,Company 125,Self Service,On Demand,Comm Rep,Germany,Software - B2B,,49,
123581,DE,Company 126,Customer,Capacity,SDR,Germany,Retailers & eCommerce,111,100,
123582,DE,Company 127,Customer,Capacity,SDR,Germany,Automotive,1838,100,
123583,DE,Company 128,Customer,Capacity,SDR,Poland,Other Travel and Hospitality,75,100,
123584,DE,Company 129,Self Service,On Demand,Comm Rep,Germany,Legal,,90,
123585,DE,Company 130,Self Service,On Demand,SDR,Germany,,,74,
123586,DE,Company 131,Self Service,On Demand,Comm Rep,Germany,Software - B2B,,83,
123587,DE,Company 132,Self Service,On Demand,SDR,Germany,,,71,
123588,DE,Company 133,Self Service,On Demand,Comm Rep,Germany,Retailers & eCommerce,,92,
123589,DE,Company 134,Self Service,On Demand,Comm Rep,Germany,Software - B2B,,47,
123590,DE,Company 135,Self Service,On Demand,Comm Rep,Germany,Software - B2B,,56,
123591,DE,Company 136,Customer,Capacity,SDR,Germany,"Grocery, Consumables, Food & Beverage",227,100,
123592,DE,Company 137,Prospect,Suspect,SDR,Germany,Health Insurance Payers,768,37,
123593,DE,Company 138,Prospect,Suspect,SDR,Germany,Sports & Betting,500,35,
123594,DE,Company 139,Prospect,Suspect,Comm Rep,Germany,Nonprofit Organization,,27,
123595,DE,Company 140,Prospect,Suspect,Comm Rep,Germany,Hardlines,600,33,
123596,DE,Company 141,Prospect,Suspect,SDR,Germany,Hardlines,600,37,
123597,DE,Company 142,Prospect,Suspect,Comm Rep,Germany,Agriculture,779,83,
123598,DE,Company 143,Prospect,Suspect,Comm Rep,Germany,,,27,
123599,DE,Company 144,Prospect,Suspect,SDR,Germany,Nonprofit Organization,105,15,
123600,DE,Company 145,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,1247,87,
123601,DE,Company 146,Prospect,Suspect,Comm Rep,Germany,HCLS Other,279,66,
123602,DE,Company 147,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,2131,46,
123603,DE,Company 148,Prospect,Suspect,Comm Rep,Germany,Construction,12,28,
123604,DE,Company 149,Prospect,Suspect,Comm Rep,Germany,Telco,200227,93,62
123605,DE,Company 150,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,23194,62,
123606,DE,Company 151,Prospect,Suspect,Comm Rep,Germany,Regional Commercial & Retail Banks,1058,48,
123607,DE,Company 152,Prospect,Suspect,Comm Rep,Germany,AdTech & MarTech,39,63,
123608,DE,Company 153,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,1,38,
123609,DE,Company 154,Prospect,Suspect,SDR,Germany,Regional Commercial & Retail Banks,67,16,
123610,DE,Company 155,Prospect,Suspect,Comm Rep,Germany,Construction,60,34,
123611,DE,Company 156,Prospect,Suspect,SDR,Germany,Industrial Goods,383,79,
123612,DE,Company 157,Prospect,Suspect,Comm Rep,Germany,Hardlines,549,64,
123613,DE,Company 158,Prospect,Suspect,Comm Rep,Germany,Retailers & eCommerce,17,54,
123614,DE,Company 159,Prospect,Suspect,Comm Rep,Germany,Construction,40,43,
123615,DE,Company 160,Prospect,Suspect,SDR,Germany,Fintech & Payments,37,15,
123616,DE,Company 161,Prospect,Suspect,SDR,Germany,Other Private Service,30,17,
123617,DE,Company 162,Prospect,Suspect,SDR,Germany,Nonprofit Organization,,19,
123618,DE,Company 163,Prospect,Suspect,Comm Rep,Germany,Software - B2C,17,63,
123619,DE,Company 164,Prospect,Suspect,Comm Rep,Germany,Professional Services,179,59,
123620,DE,Company 165,Prospect,Suspect,SDR,Germany,Industrial Goods,8,42,
123621,DE,Company 166,Prospect,Suspect,Comm Rep,Germany,Industrial Goods,72,34,
123622,DE,Company 167,Prospect,Suspect,SDR,Germany,Technology Hardware,90,36,
